"id","name","headline","subheading","type","registration_closed","status","private","learn_upon_course","first_day_start","first_day_end","final_day_start","final_day_end","virtual_training_link","onsite","sponsored","created_at","updated_at","instructor_id","assistant_instructor_id","module_id","venue_id"
"5f11db66-0635-4f68-b9f6-2b14afb1430a",Lazicki-02/27/2021/V1,"February 27 & 28, from 12-4:30 pm EST.  2 sessions of 4.5 hours each, along with the Learn Upon online course.  Virtual Interactive Training.",,live online,true,completed,true,,2021-02-27 11:00:00.000 -0500,2021-02-27 15:30:00.000 -0500,2021-02-28 11:00:00.000 -0500,2021-02-28 15:30:00.000 -0500,,false,false,2021-08-08 17:22:53.000 -0400,2021-08-09 23:44:43.000 -0400,"73f5e335-6a78-4d67-9cc3-4ffed575d807",,e2f676c9-62fe-4088-8490-f39aea11c4b1,
a7f5b900-79c5-4a95-b625-4a1df163d749,"Des Plaines, IL-12/05/2020-M1-B-POSTPONED",Chicago area,,in-person,true,cancelled,true,,2020-12-05 07:30:00.000 -0500,2020-12-05 16:00:00.000 -0500,2020-12-06 07:00:00.000 -0500,2020-12-06 12:00:00.000 -0500,,false,false,2021-08-08 17:22:53.000 -0400,2021-08-08 17:22:53.000 -0400,dafa78f5-fb3f-4089-9dc4-3bd9f16610d9,,e2f676c9-62fe-4088-8490-f39aea11c4b1,"2f9f5d89-e4b8-49a7-ba7f-4dfcaf59ff5a"
"22e4ddbf-0f39-4eb1-a126-44431914978f",Lazicki-03/27/2021-V1,"March 27 & 28, from 12-4:30 pm EST.  2 sessions of 4.5 hours each",,live online,false,completed,true,,2021-03-27 12:00:00.000 -0400,2021-03-27 16:30:00.000 -0400,2021-03-28 12:00:00.000 -0400,2021-03-28 16:30:00.000 -0400,,false,false,2021-08-08 17:22:53.000 -0400,2021-08-09 23:56:56.000 -0400,"73f5e335-6a78-4d67-9cc3-4ffed575d807",,e2f676c9-62fe-4088-8490-f39aea11c4b1,
"6bfd1352-b749-4c2b-9721-73d2dc601f81","The Colony, TX-01/09/2021-M1",Dallas area,,in-person,true,completed,true,,2021-01-09 07:30:00.000 -0500,2021-01-09 16:00:00.000 -0500,2021-01-10 07:00:00.000 -0500,2021-01-10 12:00:00.000 -0500,,false,false,2021-08-08 17:22:53.000 -0400,2021-09-09 11:04:28.000 -0400,f13a9ee0-99de-4135-a187-42d266d6dcd3,,e2f676c9-62fe-4088-8490-f39aea11c4b1,bb57b884-14f4-41e1-898d-9ef0266dd1c4
"10c4ccc0-a753-4838-a66c-408b579bfe94",Racette-06/03/2021-V1,"June 3 & 10 from 8 am - 12:30 pm EST.  2 sessions of 4.5 hours each, plus the Learn Upon online course.  Virtual Interactive Training.",,live online,true,completed,true,,2021-06-03 08:00:00.000 -0400,2021-06-03 12:30:00.000 -0400,2021-06-10 08:00:00.000 -0400,2021-06-10 12:30:00.000 -0400,,false,false,2021-08-08 17:22:53.000 -0400,2022-07-13 09:44:58.000 -0400,"39114dc8-52d6-422b-961d-94d39a710d46",,e2f676c9-62fe-4088-8490-f39aea11c4b1,
c4196381-c64d-4aae-8c37-b34b1b7457c6,Racette-06/17/2021-V2,"June 17 & 24, from 8 am - 1 pm EST.  2 sessions of 5 hours each, plus the Learn Upon online course.  Virtual Interactive Training.",,live online,false,completed,true,,2021-06-17 08:00:00.000 -0400,2021-06-17 13:00:00.000 -0400,2021-06-24 08:00:00.000 -0400,2021-06-24 13:00:00.000 -0400,,false,false,2021-08-08 17:22:53.000 -0400,2022-07-13 09:44:20.000 -0400,"39114dc8-52d6-422b-961d-94d39a710d46",,"0cbb5d3c-c2b2-4192-9560-cb614802f7f3",
"90bbceea-905f-49a9-ac7b-9ea977672f1b",Kelley-06/14/2021-V1,"June 14, 21, & 28 from 7-10 pm EST.  3 sessions of 3 hours each, along with the Learn Upon online course.  Virtual Interactive Training.",,live online,false,completed,true,,2021-06-14 19:00:00.000 -0400,2021-06-14 22:00:00.000 -0400,2021-06-28 19:00:00.000 -0400,2021-06-28 22:00:00.000 -0400,,false,false,2021-08-08 17:22:53.000 -0400,2021-09-14 12:24:15.000 -0400,"0bf049a4-2f1f-485f-bf98-0f7264541828",,e2f676c9-62fe-4088-8490-f39aea11c4b1,
d7a850f2-4111-42fd-9175-f3960883e99e,Ploski-06/09/2021-V1,"June 9, 16, & 23 from 7-10 pm EST.  3 sessions of 3 hours each, along with the Learn Upon online course.  Virtual Interactive Training.",,live online,false,completed,true,,2021-06-09 19:00:00.000 -0400,2021-06-09 22:00:00.000 -0400,2021-06-23 19:00:00.000 -0400,2021-06-23 22:00:00.000 -0400,,false,false,2021-08-08 17:22:53.000 -0400,2021-08-09 23:44:50.000 -0400,"6eb25eef-ad7b-4bc1-9137-98aa44f1e53b",,e2f676c9-62fe-4088-8490-f39aea11c4b1,
"2cb9ef49-bcfa-4e67-9c0f-dda1d95a16ad",Ploski-06/12/2021-F1,June 12 & 13 from 12 - 4 pm EST.  2 sessions of 4 hours each.  GT Orthotics Virtual Interactive Training.,,live online,false,completed,true,,2021-06-12 12:00:00.000 -0400,2021-06-12 16:00:00.000 -0400,2021-06-13 12:00:00.000 -0400,2021-06-13 16:00:00.000 -0400,,false,false,2021-08-08 17:22:53.000 -0400,2022-07-13 09:49:12.000 -0400,"6eb25eef-ad7b-4bc1-9137-98aa44f1e53b",,cafd86a1-9e65-4620-bf89-78bac2061448,
e37309d0-0a65-4570-bc05-9f0c9c49791e,DeLuccio-06/25/2021-V1,"June 25 & 26 from 8 am - 12:30 pm EST.  Two sessions of 4.5 hours each, along with the Learn Upon online course.  Virtual Interactive Training.",,live online,false,completed,true,,2021-06-25 08:00:00.000 -0400,2021-06-25 12:30:00.000 -0400,2021-06-26 08:00:00.000 -0400,2021-06-26 12:30:00.000 -0400,,false,false,2021-08-08 17:22:53.000 -0400,2021-08-09 23:44:51.000 -0400,"11f5d6b7-a5bc-4900-92dd-19efb674b9a9",,e2f676c9-62fe-4088-8490-f39aea11c4b1,
f18bba37-c1b9-401e-92ee-042be3335d6b,"Vancouver, BC-06/26/2021-M1",,,in-person,true,completed,true,,2021-06-26 08:30:00.000 -0400,2021-06-26 17:00:00.000 -0400,2021-06-27 08:00:00.000 -0400,2021-06-27 13:00:00.000 -0400,,false,false,2021-08-08 17:22:53.000 -0400,2022-04-11 12:26:51.000 -0400,bd9c783a-d62d-48db-9c7d-60b590b3f052,,e2f676c9-62fe-4088-8490-f39aea11c4b1,"106b88aa-df12-40f1-8111-b51f4f846ba8"
